ID,Lat,Lon,Dep,OT,RMS,MinDist,Gap,NumPicks,Mag,DetectionTime,MatchedWith
us10007rnk,43.6625,-108.7881,12.77,1483679181,0.68,115.08165,51,0,3,1490658804,
nm60171771,34.178833,-92.491333,10.15,1484203379,0.17,46.544134,80,13,2.57,1491006370,
us10007u9j,39.0971,-107.253,5,1484884372,1.22,25.68489,36,0,2.8,1491964142,
us10007wad,39.5427,-107.5885,5,1485809197,0.59,66.60281,36,0,3.3,1493257118,
nm60175406,36.103,-89.452667,4.27,1486663551,0.19,3.459121,40,60,2.82,1494293072,
us20008k54,45.238,-67.9894,8.2,1487123404,0.58,33.69057,94,0,2.6,1494637400,
us20008ke8,33.5174,-87.3489,2.38,1487309219,0.6,62.15521,65,0,2.7,1494637402,
se60180296,37.702333,-77.8155,11.4,1489371095,0.13,29.532064,60,11,2.6,1496795617,
nm60181601,36.8795,-89.127833,12.22,1489933513,0.17,21.103862,55,63,3.16,1497296810,
us10008dxn,39.6644,-81.2434,3.93,1491134292,0.93,23.3499,46,0,3,1498202787,
se60185831,33.263333,-83.043167,9.54,1491442680,0.21,72.340214,75,12,2.51,1498202793,
se60185841,33.2605,-83.04,11.16,1491443353,0.22,72.05112,66,20,2.72,1498202793,
us10008fp3,39.7521,-98.1289,13.42,1491595716,0.39,123.64328,59,0,3.3,1498202795,
us10008j7c,40.676,-107.8827,13.3,1492681497,0.8,67.38114,41,0,3.5,1499737718,
se60036903,33.5525,-82.1045,8.23,1492756868,0.17,50.680402,78,12,2.52,1499737719,
uu60194797,40.112667,-108.839667,7.33,1492883321,0.16,51.047329,96,15,3.75,1508862471,
uu60195217,40.1255,-108.8315,3.81,1493284293,0.15,50.302356,139,14,2.63,1500604328,
se60193886,37.277167,-80.841,4.13,1494563470,0.12,38.02698,67,17,2.75,1501628550,
mb80209879,45.29,-106.441667,2.98,1495177387,0.14,156.44433,144,6,2.71,1495222990,
us10008uvu,39.2296,-82.4759,10,1495643045,0.56,34.69128,17,0,3.4,1502933882,
se60195656,34.6145,-85.132333,9.9,1495713920,0.14,9.159832,53,28,2.5,1502328841,
se60197121,34.415667,-85.566333,13.19,1496412516,0.12,14.387986,147,16,2.58,1502764011,
us20009kfw,39.9166,-81.2934,1.73,1496459320,0.59,37.58222,23,0,3.4,1513655102,
nm60197956,36.376,-92.9895,5.87,1497184825,0.15,12.397685,85,24,3.6,1503098002,
us20009lxq,39.7383,-98.1154,5,1497267167,0.56,124.42161,60,0,3.7,1503098004,
nm60171697,36.373833,-92.995,5.66,1497580108,0.1,12.842445,85,21,2.89,1503098009,
us20009n8v,37.0349,-104.8975,2.16,1497681728,0.72,14.00994,33,0,3.5,1503098011,
us20009nja,39.7851,-98.2307,5,1497855757,0.66,124.75518,59,0,2.9,1503506144,
nm60172172,36.075,-89.803,8.59,1497871619,0.14,6.78259,38,64,2.68,1503506144,
se60172262,33.4275,-82.016833,12.93,1497971645,0.19,38.58293,46,25,3.2,1515541027,
se60172362,38.1995,-81.3985,16.61,1498032093,0.38,45.03195,70,17,2.7,1513275450,
nm60173557,38.85,-89.2275,16.79,1498932452,0.16,19.213632,88,23,3.12,1506477801,
us100095ul,29.0542,-97.9082,5.45,1498986047,0.52,24.01704,105,0,3,1506991664,
ld60138006,43.433,-78.589333,5,1499754466,0.35,18.257398,108,13,2.52,1518670342,
nm60202956,35.792667,-92.251667,6.83,1500762213,0.23,15.800099,69,29,2.65,1507683843,
us2000a2lh,38.0255,-98.0035,3.6,1501373625,0.22,75.94277,54,0,3,1508291649,
us2000a5at,37.0254,-104.9319,5.29,1501990833,0.75,17.01207,29,0,2.9,1508891879,
se60204051,35.403333,-84.624833,15.39,1502107449,0.15,10.677576,65,26,2.5,1508891881,
us2000a7sv,32.8843,-100.8946,4.67,1502635540,0.66,2.55737,48,0,2.7,1510623725,
us2000a9gb,44.8394,-99.9628,5,1502758534,0.69,91.28699,121,0,3,1510623728,
us2000ade7,37.5587,-97.7708,4.68,1504164077,0.36,31.57796,69,0,3.4,1511894034,
us2000adjp,39.7121,-97.9069,5,1504200105,0.26,21.34848,65,0,2.6,1511894035,
us2000afst,37.58,-97.77,4.06,1504575173,0.21,33.91295,84,0,2.8,1512676812,
us2000agcu,32.8313,-100.924,1.49,1504647462,0.4,4.55879,41,0,2.5,1512676814,
us2000ahub,36.6996,-97.683,6.073,1504837584,1.24,0,49,0,4.3,1512676819,
us2000ahxh,36.9956,-104.9507,6.27,1504853615,0.45,18.9023,93,0,3.6,1512676821,
nm60179177,38.425,-87.913,11.76,1504930529,0.17,11.474808,37,32,3.06,1514562162,
se60179327,37.472833,-80.703,17.77,1505323991,0.16,38.349431,48,20,3.2,1513132182,
