LatGridBinSize 2.0
LonGridBinSize 2.0
LAT  LON   EVENT_COUNT  MAX_DEPTH  MIN_DEPTH  AVG_DEPTH  MIN_MAG  MAX_MAG  AVG_MAG
-84 40 1 7.0 7.0 7.0 4.4 4.4 4.4
-84 132 1 10.0 10.0 10.0 4.6 4.6 4.6
-80 156 1 10.0 10.0 10.0 4.2 4.2 4.2
-78 40 1 10.0 10.0 10.0 4.6 4.6 4.6
-76 -150 1 10.0 10.0 10.0 4.4 4.4 4.4
-76 -148 3 12.0 10.0 10.73 5.5 4.7 5.0
-76 164 1 10.0 10.0 10.0 5.1 5.1 5.1
-72 -134 1 10.0 10.0 10.0 4.8 4.8 4.8
-70 -126 1 10.0 10.0 10.0 5.0 5.0 5.0
-70 64 1 14.89 14.89 14.89 4.1 4.1 4.1
-70 166 1 10.0 10.0 10.0 4.5 4.5 4.5
-68 -86 1 10.0 10.0 10.0 4.2 4.2 4.2
-68 170 1 16.67 16.67 16.67 5.0 5.0 5.0
-66 108 1 15.05 15.05 15.05 4.4 4.4 4.4
-64 -178 4 10.0 10.0 10.0 5.8 4.5 5.12
-64 -176 2 10.0 10.0 10.0 5.8 5.6 5.7
-64 -174 5 10.0 10.0 10.0 5.8 4.5 5.08
-64 -172 2 10.0 10.0 10.0 4.7 4.7 4.7
-64 -170 1 10.0 10.0 10.0 4.5 4.5 4.5
-64 132 1 10.0 10.0 10.0 4.7 4.7 4.7
-64 134 1 10.0 10.0 10.0 4.6 4.6 4.6
-64 172 6 10.0 10.0 10.0 5.4 4.2 4.73
-64 174 18 10.57 8.93 9.95 5.3 4.1 4.63
-64 176 22 18.3 9.84 10.67 5.5 4.3 4.71
-64 178 24 10.01 9.06 9.94 5.5 4.0 4.74
-62 -166 5 10.0 4.0 8.8 5.9 4.2 4.96
-62 -164 12 16.01 10.0 11.38 5.7 4.4 4.87
-62 -162 4 10.0 10.0 10.0 4.9 4.5 4.65
-62 -160 15 14.85 10.0 10.32 6.1 4.0 4.73
-62 -158 19 10.2 10.0 10.01 5.3 4.0 4.71
-62 -156 7 10.0 10.0 10.0 5.5 4.4 4.9
-62 -154 2 10.0 10.0 10.0 4.7 4.6 4.65
-62 -62 3 10.0 8.8 9.6 5.7 4.3 4.8
